id	g	browse	lectures	forum_read	forum_post	attendance
533	40	-1.57	1.56	0.65	1.54	1.5
534	40	0.78	-0.07	-0.04	-0.68	1.49
535	40	-0.5	1.14	0.69	0.67	0.55
536	40	0.87	-0.03	1.61	0.84	0.81
537	40	-0.44	-0.68	-0.87	-1.33	-0.42
538	40	0.2	0.67	0.63	0.73	1.22
539	40	0.25	0.49	1.73	0.51	1.95
540	40	1.77	-0.39	1.17	1.49	1.11
541	40	-0.19	0.81	0.02	-0.93	-0.21
542	40	0.82	-0.32	1.22	0.45	0.11
543	40	1.69	0.28	1.57	-0.06	0.02
544	40	-0.76	-0.96	-2.1	-1.53	-2.32
545	40	-1.71	-1.91	-0.83	0.11	-2.02
546	40	-0.77	-0.81	-1.12	-0.5	-0.47
547	40	1.41	0.28	1.3	2.65	1.91
548	41	-0.23	0.94	0.41	0.11	0.5
549	41	-1.63	1.7	0.91	1	1.09
550	41	-0.27	-0.32	-0.08	0.54	-0.05
551	41	1.64	0.8	0.89	0.78	0.48
552	41	-1.02	0.28	-0.87	-0.65	-0.94
553	41	-1.56	-1.02	-0.27	-0.79	-1.45
554	41	1.07	-0.97	-0.05	0.37	0.21
555	41	0.83	-0.64	1.28	0.91	0
556	41	2	0.51	1.37	0.77	0.57
557	41	-0.41	-1.81	1.04	1.05	0.5
558	41	-0.14	0.14	0.62	0.05	1.04
559	41	-1.3	-1.09	0.36	0.7	-0.6
560	41	-0.24	-0.87	0.26	-1.26	-1.28
561	41	-0.42	-1.06	-0.74	-1.98	-0.15
562	42	-0.12	2.58	1.21	1.24	1.46
563	42	-0.64	1.66	2.3	-0.48	0.97
564	42	0.23	0.03	0.51	-0.95	0.16
565	42	-0.62	-0.36	-0.3	-0.09	-0.45
566	42	0.36	-0.12	-1.47	-0.96	-1.62
567	42	0.05	0.59	0.75	-1.45	-1.19
568	42	0.44	-1	-0.32	-1.58	-1.42
569	42	0.08	-0.51	-1.38	-1.82	-1.73
570	42	-1.15	-1.89	-0.63	-0.28	-1.25
571	42	-0.64	-0.98	-1.25	-0.35	-1.88
572	42	-1.14	-1.66	-0.33	-0.86	-0.39
573	42	-0.18	0.56	-0.5	-0.44	-0.97
574	42	-0.59	-1.17	-0.88	-0.41	-0.12
575	43	-0.36	-1.69	-0.15	1.25	0.35
576	43	0.84	0.04	-1.07	-0.36	-0.02
577	43	1.45	0.43	1.03	0.09	-0.07
578	43	0.73	0.09	0.18	0.29	-0.14
579	43	1.28	0	1.05	-0.39	1.03
580	43	0.85	1.23	0.9	-0.17	-0.06
581	43	0.85	-1.9	0.79	-0.01	0.01
582	43	1.65	0.13	0.33	1.12	1.48
583	43	0.11	1.82	1.7	0.89	0.62
584	43	0.9	0.46	-0.47	-1.02	0.2
585	43	0.3	0.99	0.56	0.61	1
586	43	0.64	-0.87	0.44	1.22	0.57
587	43	2.02	0.99	0.16	0.53	-0.1
588	44	-0.42	-0.28	-1.37	-1.16	-0.24
589	44	-0.98	-0.7	-1.49	-0.22	-1
590	44	0.93	-0.59	-1.9	-1.55	-0.94
591	44	0.34	-1.44	0.13	0.59	0.08
592	44	1.3	-0.17	1.2	1.22	0.72
593	44	-0.52	0.18	0.5	0.92	0.97
594	44	0.95	0.96	-0.39	1.93	0.98
595	44	1.1	1.32	1.1	0.21	1.36
596	44	0.76	0.03	0.51	-1.14	-0.88
597	44	-0.1	-0.67	0.21	-0.79	0.5
598	44	0.74	-0.54	0.37	-0.16	2.14
599	44	-0.35	0.81	0.61	0.55	0.04
600	44	0.65	1.04	1.17	0.36	1.28
601	44	0.46	0.24	-0.05	-2.16	0.28
602	44	0.9	0.3	1.4	1.47	0.77
603	45	0.33	1.35	0.45	0.43	0.03
604	45	-0.18	0.29	1.69	0.46	0.6
605	45	0.06	-0.25	0.62	-0.46	0.54
606	45	0.94	1.29	1.01	2.03	1.3
607	45	0.18	-0.03	1.35	-0.24	1.11
608	45	-0.85	-0.86	-1.42	-0.37	-1.1
609	45	-0.58	-0.72	-1.39	0	-2.16
610	45	1.24	0.28	0.92	0.8	0.74
611	45	1.01	0.28	1.23	0.35	0.24
612	45	1.37	-0.13	1.07	-0.86	1
613	45	1.71	0.15	1.27	0.18	-0.1
614	45	1.22	0.09	-0.06	0.7	0.33
615	45	-0.07	1.62	0.47	0.25	0.04
616	45	0.49	1.3	0.56	0.3	1.07
617	46	0.86	1.19	0.09	0.34	0.8
618	46	1.62	0.7	0.87	0.77	1.42
619	46	-0.97	1.93	0.99	1.12	0.17
620	46	0.58	1.06	0.21	1.56	1.11
621	46	-0.58	-0.67	-0.3	-1.02	-0.01
622	46	-0.5	-1.52	-0.28	0.09	-0.55
623	46	-1.79	-0.9	-1.6	-1.04	-1
624	46	-0.12	-0.77	-1.27	-0.89	-0.72
625	46	1.46	1.77	0.5	0.94	1.7
626	46	-0.71	-1.23	-1.37	-0.9	-1.01
627	46	-1.55	-1.16	-0.17	-1.18	-0.76
628	46	-0.51	-0.17	0.63	1.64	0.6
629	46	0.32	-0.26	0.29	-0.88	-0.33
630	46	1.38	0.76	1.85	0.15	1.19
631	46	-0.27	1.22	0.49	2.57	0.86
632	47	-1.65	-0.3	-0.57	0.21	-1.13
633	47	-1.72	-0.03	-1.12	-1.84	-0.53
634	47	-0.9	-0.58	-0.4	-0.38	-0.5
635	47	-0.27	2.01	-0.1	-1.32	0.24
636	47	-1.11	-0.91	0.03	-1.33	-0.54
637	47	-1.15	-0.91	-0.44	-1.81	-0.15
638	47	-1.08	-0.69	-1.7	-1.02	-1.8
639	47	-0.24	3.22	0.39	1.03	0.38
640	47	-0.18	-0.74	1.12	0.44	0.21
641	47	0.12	0.65	-0.05	0.4	1.76
642	48	-1.29	-0.45	-1.11	-0.29	-1.16
643	48	-1.01	-1.22	-1.1	-1.46	-0.77
644	48	-0.54	0.31	1.02	1.02	1.05
645	48	0.87	0.19	1.31	0.5	-0.31
646	48	0.46	-0.82	0.89	-0.2	-0.28
647	48	-0.6	-0.3	1.19	1.2	0.86
648	48	0.21	1.07	0.95	-0.09	0.24
649	48	0.85	-0.82	0	-0.42	-0.13
650	48	0.9	-0.82	0.85	0.27	-0.44
651	48	0.8	1.01	-0.01	-0.65	0.12
652	48	-1.29	0.87	0.9	0.39	0.42
653	48	0.6	0.75	0.75	-0.25	0.09
654	48	-0.44	1.05	0.16	0.59	0.89
655	49	-0.2	1.07	0.78	0.06	0.36
656	49	1.52	-0.6	-2.23	-1.67	-0.2
657	49	0.39	0.08	0.71	0.48	0.44
658	49	-0.69	0.44	-0.65	1	0.21
659	49	1.7	0.43	0.26	1.24	1.35
660	49	0.01	0.07	1.11	0.45	0.18
661	49	1.18	0.25	1.16	0.59	1.28
662	49	-0.04	-2.91	-1.38	-0.81	-1.28
663	49	1.27	0.39	0.29	-0.45	1.04
664	49	0.87	-0.12	-0.01	-0.55	-0.2
665	49	0.1	2.74	0.46	0.89	1.33
666	49	1.28	0.52	1.41	0.34	1.47
667	50	1.57	0.37	0.18	0.93	0.98
668	50	-0.18	0.32	0.87	0.3	0.07
669	50	-1.42	0.88	-0.86	-0.79	-0.37
670	50	0.26	-1.32	1	1.6	-0.07
671	50	-1.49	1.03	0.34	-1.18	1.21
672	50	0.58	0.59	-0.09	0.11	0.29
673	50	1.48	0.25	1.29	1.53	1.26
674	50	-0.79	0.41	1.2	0.57	0.15
675	50	1.11	-0.8	-0.16	0.16	-0.35
676	50	0.58	-0.31	0.41	0.57	1.26
677	50	-0.26	-1.87	-1.38	-0.52	-1.78
678	50	-2	-0.86	-0.47	-0.87	-1.08
679	51	-1.29	-1.32	-1	-0.26	-0.8
680	51	-0.72	-0.78	-1.82	-2	-1.09
681	51	-0.52	0.03	-0.66	-1.73	-2.15
682	51	-2.04	-0.22	-0.94	-0.39	-0.17
683	51	-0.64	-1.15	-0.26	-0.86	-1.05
684	51	1.21	0.83	0.49	0.59	0.6
685	51	0.45	-0.21	0.68	-0.17	-0.1
686	51	1.29	-0.22	-0.14	0.21	-0.78
687	51	0.33	1.48	-0.38	-0.14	1.12
688	51	1.18	0.62	0.41	1.52	1.51
689	51	-1.51	0.02	-0.97	-1.23	-1.46
690	51	-1.77	-1.98	-0.57	-0.75	-1.99
691	51	-0.43	-1.11	-1.27	-0.8	-0.68
692	51	-1.09	-1.68	-1.7	0.21	-0.4
693	52	-0.78	1.69	-0.08	0.26	-0.03
694	52	0.43	1.48	-0.05	1.06	1.49
695	52	-0.23	0.37	0.15	-0.48	0.01
696	52	0.35	1.57	1.54	0.17	0.93
697	52	1.15	1.7	1.34	0.4	0.78
698	52	1.2	1.51	0.7	0.23	0.95
699	52	0.91	-1.48	2.25	-0.05	1.37
700	52	-1.02	0.06	-0.45	0.44	-1.18
701	52	-0.34	-0.24	-0.74	0.3	-0.51
702	52	-1.12	-0.07	-0.36	-2.14	-0.81
703	52	-0.62	-1.28	-1.15	-0.58	-1.14
704	52	-1.65	-1.38	-0.94	-1.27	-0.93
705	52	0.16	-1.68	-0.6	-0.72	0.55
706	53	-1.31	0.17	0.17	-1.44	-1.49
707	53	-0.77	-0.53	-1.03	-0.11	-1.11
708	53	-0.57	-0.65	-0.82	-0.06	0.15
709	53	0.94	-1.67	-1.03	-0.85	-0.54
710	53	-1.45	-0.28	-0.46	-0.78	-0.4
711	53	-0.93	0.55	-0.61	-0.29	-0.12
712	53	0.26	0.31	-0.33	1.74	1.44
713	53	-0.37	0.13	0.31	-0.08	0.3
714	53	0.56	2.13	-0.02	1.48	0.6
715	53	-1.38	-0.92	-2.16	-0.83	-1.3
716	53	0.15	-2.26	-1.78	-0.77	-0.57
717	53	-0.17	-2.16	0.22	-0.49	-0.96
718	54	-0.44	-1.08	-1.57	-0.17	-0.87
719	54	-1.37	-0.37	-0.56	-1.44	-1.01
720	54	-2.04	-1.36	-0.06	-0.92	-0.49
721	54	-0.93	-0.28	-1.63	0.64	-0.07
722	54	-0.11	-0.81	-0.11	-0.9	0.52
723	54	-1.55	-0.96	0.16	0.77	-1.5
724	54	-0.85	-1.41	-0.63	-0.66	-2.44
725	54	-0.73	-0.73	-0.79	-0.22	0.28
726	54	-0.43	-1.8	-0.67	-0.85	-1.32
727	54	0.39	0	0.96	1.25	1.27
728	54	0.75	-1.52	-1.38	-1.92	-0.35
729	54	-1.36	0.66	-0.56	-0.8	-0.1
730	54	-0.52	-0.56	-0.6	-0.88	-0.78
731	54	-0.99	-0.69	-0.71	-0.67	0.04
732	54	-1.06	-0.63	-0.51	-0.16	-1.56
733	55	-0.01	0.58	0.46	0.39	0.09
734	55	0.92	2.77	1.88	0.81	0.81
735	55	0.79	1.53	0.18	0.12	1.12
736	55	0.05	-0.61	-0.69	-2.21	-1.05
737	55	-0.11	-0.22	-1.31	-1.79	-0.95
738	55	-0.85	0.46	0.26	0.9	0.42
739	55	-1.21	-0.3	1.24	0.21	0.51
740	55	-0.1	0.39	0.23	1.32	1.07
741	55	-0.36	1.01	1.42	0.65	1.74
742	55	-0.64	-0.19	0.41	1.79	0.6
743	55	0.57	-1.13	2.14	1.14	1.14
744	55	0.18	0.32	0.29	1.87	1.68
745	55	0.44	0.61	0.13	-0.32	0.35
746	55	-0.59	0.3	-0.21	-1.48	-0.53
747	55	0.19	-0.5	-0.19	-1.31	-0.99
748	56	-0.8	-0.19	-1.35	-0.38	-0.01
749	56	-1.1	-1.17	-1.19	-0.63	-0.71
750	56	0.96	-1.01	-1.55	0.17	-1.24
751	56	-0.57	-0.57	-1.95	-1.05	-2.19
752	56	-0.44	0.11	-0.94	-0.78	-0.12
753	56	-0.7	0.6	-0.86	-1.52	-1.1
754	56	-0.52	-0.7	-0.48	-0.65	-1.51
755	56	0.03	-0.65	-0.76	0.4	-1.17
756	56	-0.31	0.13	-0.46	-0.29	-0.1
757	56	-3.14	-0.45	-2.34	-0.93	-1.32
758	56	-0.34	-1.14	-0.93	-0.34	0.12
759	56	0.21	-1.25	-0.35	-0.26	-1.74
760	56	-0.84	0.14	-1.6	-0.85	-1.28
761	57	-1.48	-1.8	-0.58	-0.56	-0.7
762	57	-0.19	-1.69	-0.84	0.08	-1.35
763	57	-0.83	-0.42	-1.53	-1.29	-0.95
764	57	-1.27	-0.82	-0.76	-1.29	-0.91
765	57	0.96	-0.69	-0.75	-2.61	-0.34
766	57	-0.66	0.83	-1.6	-1.28	-0.78
767	57	-1.49	-0.57	-0.5	-0.9	-0.81
768	57	0.2	-1.54	1.36	0.84	1.13
769	57	0.7	1.4	0.23	-0.87	0.07
770	57	-0.22	-1.39	0.19	-0.52	0.64
771	57	0.07	-0.36	-0.89	-0.4	-1.63
772	58	0.41	0.13	1.28	0.48	1.03
773	58	0.15	0.83	1.29	0.31	1.08
774	58	0.03	-0.35	-0.5	-1.14	0.39
775	58	1.37	0.53	2.69	-0.87	1.83
776	58	-0.9	-1.22	0.34	1.94	1.1
777	58	-1.11	0.19	-1.7	-2.2	-1.75
778	58	-0.12	-0.55	-0.51	-1.17	-1.75
779	58	0.82	-0.25	0.38	0.47	-0.34
780	58	-0.32	-0.18	0.54	-0.73	-0.2
781	58	0.71	0.66	0.36	-0.89	0.64
782	58	0.24	-1.58	0.24	1.14	-0.12
783	58	-1.29	0.55	1.54	0.41	0.29
784	58	0.1	-0.13	1.47	-1.32	1.12
785	58	0.23	2.07	0.02	1.59	0.77
786	58	0.13	0.46	-0.3	-0.27	0.15
787	59	-1.68	-1.47	0.05	-0.97	-1.14
788	59	-0.74	-1.01	-1.68	0.05	-0.26
789	59	-0.37	-0.68	-0.61	-0.74	-1.42
790	59	-1.8	-0.66	-1.31	-2.22	-1.79
791	59	-0.37	-0.85	-1.16	-1.07	-1.13
792	59	0.49	-0.93	-1.21	-2.32	-1.37
793	59	-1.69	-1	-0.6	-0.66	-0.78
794	59	-0.36	-1.01	-0.32	-1.72	-0.85
795	59	0.71	0.11	1.25	1.52	1.53
796	59	0.67	-0.38	0.06	0.47	1.41
797	59	0.65	1.34	1.45	-0.58	0.39
798	59	0.71	1.22	0.21	1.63	1.01
799	59	-1.35	-1.53	-0.97	-0.19	-0.62
800	59	-1.67	-1.81	-1.88	-0.14	-0.93
801	59	-1.45	-0.56	-2.01	0.01	-1.53
802	60	0.64	0.04	1.29	0.2	0.41
803	60	2.49	0.15	1.08	1.21	1.81
804	60	2.22	0.91	0.2	0.25	0.69
805	60	1.67	-0.05	1.1	0.22	0.71
806	60	0.46	0.33	1.89	-0.08	1.77
807	60	-0.16	-0.23	0.36	1.03	1.23
808	60	0.37	2.51	1.35	0.35	1.37
809	60	1.75	0.04	0.65	1.75	-0.27
810	60	-0.44	1.41	-0.17	-0.39	-0.2
811	60	-1.01	-1.82	-0.51	-1.36	-1.14
812	60	-0.09	-1.26	0.68	0.01	-0.1
813	60	1.05	-1.34	2.21	0.1	2.29
814	60	1.2	1.44	1.32	0.63	1.5
815	60	0.61	0.63	0.16	1.56	-0.87
816	61	1.07	-0.17	1.73	0.75	1.46
817	61	-0.19	-0.27	1.06	0.04	-0.88
818	61	0.2	1.35	0.29	1.12	1.7
819	61	0.56	0.88	1.41	1	0.73
820	61	0.88	0.15	0.04	0.53	0.87
821	61	-0.69	-0.75	0.91	2.33	1.14
822	61	1.04	-1.06	1.28	1.02	1.1
823	61	0.03	-0.19	-0.94	-1.75	-0.2
824	61	-1.52	-0.85	-0.71	-0.53	-0.6
825	61	-1.46	-1.7	-1.7	-1.44	-1.12
826	61	-1.13	-1.8	-0.86	-1.56	-1.33
827	61	1.58	0.25	0.06	0.44	0.69
828	61	1.84	0.51	-0.53	0.43	-0.1
829	61	1.15	2.01	-0.36	1.35	0.1
830	61	0.66	0.13	1.12	1.4	1.33
831	62	0.36	0.1	0.64	0.61	0.58
832	62	0.97	0.83	1.67	1.33	1.51
833	62	1.53	0.39	-0.28	0.43	0.88
834	62	-0.07	-1.16	0.06	-0.71	-0.31
835	62	-1.44	-0.58	-0.69	-0.46	-0.96
836	62	-1.97	-0.01	-0.57	-1.31	-0.9
837	62	-1.17	-1.51	-1.09	0.09	-0.99
838	62	-0.5	-1.91	-2.12	-0.99	-1.02
839	62	-1.13	-0.29	-0.76	-0.65	-1.91
840	62	0.18	-0.31	-0.51	-0.63	-0.64
841	62	0.3	-0.94	-0.78	-1.26	-0.54
842	62	-0.29	0.26	-0.79	-0.14	0.36
843	62	-1.44	-0.5	-1.14	-1.14	-0.14
844	63	-0.77	-0.22	-1.43	-0.24	-0.09
845	63	0.6	-1.1	-0.64	-1.69	-1.78
846	63	0.29	0.11	-0.9	0.18	-0.02
847	63	-0.68	-0.36	-0.67	-1.05	-0.61
848	63	1.38	0.09	-0.45	-0.52	0
849	63	-0.12	0.79	-0.12	0.1	0.97
850	63	-0.79	0.5	-1.58	0.52	0.15
851	63	-0.13	0.01	1.09	0.69	-0.72
852	63	-0.85	0.96	0.12	-0.53	0.29
853	63	-0.15	-0.68	-0.09	1.88	1.01
854	63	1.74	-1.95	0.26	-0.21	-0.03
855	63	0.12	2.2	0.24	0.96	0.33
856	63	1.26	0.79	-0.18	0.21	-0.45
857	64	0.45	-0.18	-0.14	-0.2	-0.17
858	64	-1.01	-0.84	-1.4	-0.73	-0.66
859	64	-0.8	0.3	-0.49	0.4	-1.09
860	64	0.14	0.29	1.84	1.48	1.13
861	64	-0.59	2.21	-0.35	0.39	0.94
862	64	1.3	0.11	-0.02	-0.58	-0.5
863	64	-0.69	1.07	0.84	-1.3	0.6
864	64	-0.58	-0.86	0.81	0.38	0.09
865	64	-0.03	-1.62	0.73	-0.15	0.29
866	64	1.35	0.68	0.35	0.51	2.27
867	64	0.97	1	0.46	-1.03	0.53
868	64	0.15	-0.44	-0.31	0.16	0.13
869	64	1.99	0.56	0.95	2.05	1.25
870	64	-0.62	-1.66	-1.85	-0.76	-1.99
871	64	-0.46	0.39	-1.2	-1.27	-0.28
872	65	1.26	0.55	1.04	-0.16	1.36
873	65	0.62	0.75	-0.13	0.37	0.24
874	65	0.93	-0.28	-1.21	1.55	1.04
875	65	1.37	0.08	0.65	0.48	0.87
876	65	0.77	0.56	1.02	0.86	1.27
877	65	0.97	-0.26	0.09	0.91	0.94
878	65	0.41	-0.19	0.74	-0.55	0.83
879	65	1.15	0.57	-0.28	-0.34	-0.05
880	65	1.44	0.98	1.73	1.15	0.88
881	65	-0.25	0.62	0.36	0.28	0.58
882	65	0.65	0.24	-0.22	0.89	1.23
883	65	0.59	0.69	-0.47	2.5	0.25
884	66	0.83	0.2	0.71	1.59	0.89
885	66	-0.77	0.81	0.02	0.68	-0.08
886	66	1.36	0.02	-0.57	-0.11	0.54
887	66	-1.23	0.59	-0.81	-0.49	-0.4
888	66	-0.22	-0.38	-0.95	-1.13	-0.7
889	66	-1.34	-1.28	-1.16	-1.35	-1.06
890	66	1.14	-0.61	0.67	0.24	0.36
891	66	0.11	-0.15	1.22	1.13	-0.02
892	66	0.31	0.04	1.06	-1.23	-0.42
893	66	1.39	0.24	-0.04	-0.76	0.48
894	66	0.78	-0.15	1.51	-0.47	0.67
895	66	-0.47	-0.3	-0.65	-1.02	-1.36
896	66	-1.38	0.69	-0.39	-1.22	-1.57
897	67	1.99	-0.26	1.16	-0.22	0.53
898	67	-0.18	0.94	1.12	2.33	0.02
899	67	2.05	0.83	0.43	0.24	0.84
900	67	1.56	1.09	-0.28	0.17	0.33
901	67	0.34	1.63	0.11	-0.32	0.28
902	67	0.98	0.74	0.27	0.29	0.7
903	67	1.48	0.87	1.07	0.81	2.04
904	67	0.37	0.56	0.9	0.45	0.12
905	67	1.16	-0.57	0.22	0.9	0.85
906	67	0.58	1.1	0.49	0.97	0.09
907	67	-0.01	0.2	0.07	-0.4	-0.18
908	67	-0.88	-0.34	-0.1	0.32	-0.69
909	67	0.25	0.7	-0.1	0.13	1.23
910	68	0.75	0.84	1.78	-0.14	1
911	68	-0.08	0.12	1.8	1.2	0.33
912	68	0.52	-0.07	1.14	-0.77	0.04
913	68	-1.46	-1.05	-0.62	0.16	0.42
914	68	-0.53	1.06	-1.04	-0.11	0.17
915	68	0.82	-0.79	-1.92	-1.5	-0.79
916	68	0.94	-0.44	-0.33	0.31	0.46
917	68	0.67	0.35	0.35	0.05	0.4
918	68	0.98	-0.47	-0.31	1.01	0.59
919	68	0.75	1.29	0.04	0.6	0.71
920	68	0.78	-1.35	-0.69	1.97	-0.22
921	68	0.33	-0.38	-0.52	0.13	-0.07
922	69	1.02	0.5	-0.47	1.84	1.81
923	69	0.68	-0.26	-0.92	0.19	0.14
924	69	-0.58	-0.24	-0.92	-1.43	-1.13
925	69	-0.96	-0.72	-0.97	-0.63	-1.49
926	69	0.2	0.91	1.41	0.45	1.42
927	69	0.83	1.23	0.66	2.06	1.57
928	69	0.16	-0.64	-0.95	-0.53	-0.61
929	69	-1.66	-1.23	0.49	-0.7	-0.69
930	69	0.16	0.69	-0.7	-0.51	-0.5
931	69	-2.14	0.33	-0.33	-2.08	-1.29
932	69	-1.55	-0.26	-0.3	0.83	-1.02
933	69	-0.39	0.08	-1.95	-1.15	-0.49
934	69	-0.66	-1.39	-0.75	-0.46	-0.75
935	69	-0.89	-1.64	-1.02	-0.05	-0.85
936	70	1.43	1.84	-0.21	0.51	0.86
937	70	1.44	2.32	1.47	0.85	0.84
938	70	1.93	2.07	-0.14	1.42	1.51
939	70	-0.11	-1.74	-0.06	-0.58	-1.11
940	70	-1.29	-1.47	-0.85	-0.51	-1.13
941	70	-1.22	-1.65	-1.68	-0.44	-1.8
942	70	-0.54	-1.21	-0.14	-1.13	-0.96
943	70	-0.78	-0.89	-0.86	-1	-0.28
944	70	-0.5	-0.02	-1.53	-0.42	-2.37
945	70	0.09	1.27	0.89	-0.81	1.42
946	70	-0.54	-0.63	-1.21	-0.14	-1.8
947	70	-0.46	-0.89	-0.4	-0.92	-1.79
948	70	-1.15	-0.51	-1.41	-0.65	-0.77
949	71	-0.64	0.46	-0.23	0.3	-1.22
950	71	-1.24	-0.15	-1.46	-1.22	-0.76
951	71	-0.71	-0.21	-0.97	-1.61	-0.24
952	71	-1.34	0.52	-0.74	0.23	-0.46
953	71	-1.69	-0.44	-0.02	-0.56	-0.69
954	71	-1.84	-1.38	-0.23	-0.41	-1.7
955	71	-1.98	-0.27	-2.21	-0.11	-1.55
956	71	-0.1	0.21	-0.06	-1.87	0.72
957	71	-2.07	-0.28	0.37	1.18	-0.69
958	71	0.16	-1.79	-0.53	-1.06	-1.07
959	71	-0.61	0.02	-1.22	-0.95	-1.7
960	71	0.15	-0.23	-0.2	0.62	-0.21
961	72	1.77	-0.63	0.95	1.81	0.61
962	72	0.02	1.69	1.1	0.85	0.95
963	72	-0.06	0.68	0.44	-0.09	0.3
964	72	1.68	-0.95	0.07	0.33	0.68
965	72	0.47	0.12	0.93	1.43	0.85
966	72	0.37	-0.02	0.08	-0.3	0.6
967	72	2.11	1.32	-0.13	1.01	1.12
968	72	-0.48	-0.11	1.38	-0.38	1.36
969	72	0.75	0.03	-0.11	-1.3	-1.43
970	72	-0.14	0.32	-0.74	1.88	0.16
971	72	0.87	-1.86	1.38	-0.45	0.74
972	73	0.68	-1.29	-1.01	-0.76	-0.59
973	73	-0.31	-1.65	0.08	-0.56	-1.31
974	73	-1.34	1.26	0.38	-0.35	-0.73
975	73	-0.4	-0.78	-1.35	-1.37	-1.75
976	73	-1.36	0.23	-0.2	-1.52	-0.76
977	73	-0.19	-1.12	-1.17	-0.36	-0.37
978	73	-1.66	-1.58	-0.84	-1.31	-1.34
979	73	-0.35	0.1	-1.14	-1.69	-0.51
980	73	-0.74	-2.41	-0.9	-0.8	-2.26
981	73	-0.66	-0.78	-1.02	-1.12	-0.91
982	74	-1.84	0.35	-1.13	-1.04	-1.73
983	74	-0.44	-1.15	-0.97	-0.71	-1.64
984	74	-0.8	-0.63	-0.43	-0.13	-0.7
985	74	-0.03	0.18	0.2	0.73	0.16
986	74	-1.45	-0.86	-1.42	-0.35	-0.99
987	74	-0.75	-0.45	-1.36	0.35	-0.08
988	74	-0.5	-0.83	0.24	-0.82	-0.76
989	74	-0.67	-1.22	-0.11	-1.74	-0.57
990	74	-0.45	-1.33	-1.33	-0.32	-1.51
991	74	-1.28	-0.75	-1.39	-0.37	-1.68
992	74	-1.16	-1.29	-0.11	-0.47	-0.63
993	74	0.53	-1.46	0.44	-1.69	-0.08
994	74	-0.5	-1.53	-0.46	0.34	-0.63
995	75	-1.67	-0.66	-1.11	-1.15	0.33
996	75	-0.92	-1.64	-0.6	-1.47	-0.93
997	75	-0.81	-0.16	-0.81	-0.74	-0.68
998	75	0.57	2.23	1.42	0.9	1.71
999	75	0.34	0.17	0.29	1.79	0.35
1000	75	1.56	3.06	1.15	-1.59	1.11
1001	75	-0.53	0.86	1.19	1.32	0.17
1002	75	1.25	-2.13	0.99	-0.35	0.38
1003	75	0.42	0.18	0.97	1.8	0.27
1004	75	-0.08	-0.29	0.97	-0.47	0.04
1005	75	0.9	0.82	1.06	1.76	0.84
1006	75	-0.54	-0.59	-0.05	0.33	0.09
1007	75	-0.56	-1.45	0.28	-0.68	-1.04
1008	75	1.37	-0.06	0.76	0.98	1.32
1009	75	0.89	0.1	2.52	0.3	-0.25
1010	76	0.51	0.25	-0.5	-0.45	-0.97
1011	76	-1.03	-0.88	-1.63	-0.69	-1.5
1012	76	-1.06	-1.44	-0.16	-1.08	-0.36
1013	76	-1.11	-0.34	-0.32	0.78	-1.05
1014	76	-1.17	-2.07	-1.17	-1.54	-2.14
1015	76	-0.1	0.87	-0.81	-0.06	-0.52
1016	76	-0.57	-0.76	-1.39	0.33	-2.32
1017	76	0.11	0.18	0.54	-0.09	0.36
1018	76	-1.49	1.3	0.02	-0.08	-0.19
1019	76	0.78	0.06	0.93	0.59	0.42
1020	76	1.3	0.66	0.38	0.25	0.42
1021	76	-0.67	-0.12	-1.65	-0.52	-1
1022	76	-2.02	-1.03	-1.71	-1.33	-1.02
1023	76	-0.11	-1.4	-1.04	-1.16	0.13
1024	77	-0.27	0.03	-0.79	-1.9	-0.02
1025	77	0.79	0.47	0.62	0.78	0.18
1026	77	-0.85	1.51	1.33	0.14	0.67
1027	77	0.69	0.08	0.18	3.1	1.24
1028	77	1.27	0.85	0.72	0.13	0.46
1029	77	1.66	0.8	0.43	-0.46	0.64
1030	77	-0.05	-0.52	0.95	-0.56	-0.68
1031	77	1.32	0.55	1.21	0.65	0.54
1032	77	0.12	1.04	-0.1	0.4	0.25
1033	77	-0.72	0.29	-1.11	-1.04	-1.11
1034	77	-0.3	-1.96	-1.47	-0.59	-1.75
1035	78	0.54	0.42	1.07	0.94	1.07
1036	78	-0.07	-0.1	0.79	0.49	1.52
1037	78	-0.44	-0.68	0.11	3.1	0.84
1038	78	1.01	-0.43	0.7	1.46	0.14
1039	78	-1.34	-1.51	-0.64	-0.15	-1.67
1040	78	-0.04	-0.17	1.01	-0.04	0.94
1041	78	0.23	1.91	0.76	0.32	0.79
1042	78	0.48	1.05	1.09	0.59	0.72
1043	78	0.04	0.61	1.09	-0.31	0.06
1044	78	0.2	1.03	0.28	0.55	0.98
1045	78	0.88	-0.26	1	-0.11	0.4
1046	78	0.52	0.94	1	-0.37	0.4
1047	78	-0.86	-0.34	0.12	-0.04	0.58
1048	79	1.75	-0.35	-0.42	0.73	0.07
1049	79	-1.3	-0.35	-1.2	-1.43	-1.69
1050	79	-0.78	0.08	-0.86	-0.7	-1.16
1051	79	1.58	0.9	0.01	0.89	0.88
1052	79	-0.11	-0.43	-0.17	1.66	0.83
1053	79	-0.88	0.09	-1.1	-0.85	-1.32
1054	79	0.2	1.53	0.97	-1.74	0.53
1055	79	1.37	0.89	1.81	0.96	0.97
1056	79	0.96	2.22	1.56	0.32	1.62
1057	79	0.95	1.89	1.24	1.17	1.38
